Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP100071,Marketing,41,99565,8,47.2,78,No
EMP100072,IT,35,97452,8,42.9,52,No
EMP100073,IT,32,80894,8,47.9,62,No
EMP100074,Marketing,22,79996,8,34.3,63,No
EMP100075,Marketing,26,87007,13,35.0,68,No
EMP100076,Marketing,50,110870,12,40.8,77,No
EMP100077,Marketing,25,84961,8,49.3,73,Yes
EMP100078,IT,37,91321,5,51.8,64,No
EMP100079,Finance,43,114734,15,37.6,100,Yes
EMP100080,IT,25,87729,11,42.3,64,No
EMP100081,Operations,36,103258,12,42.8,78,No
EMP100082,Sales,43,100283,6,45.6,54,No
EMP100083,HR,35,93872,14,46.4,88,No
EMP100084,IT,58,119489,9,36.4,67,No
EMP100085,HR,22,59979,6,42.3,55,Yes
EMP100086,HR,43,84687,8,32.0,37,No
EMP100087,Marketing,34,93962,9,46.1,77,No
EMP100088,Sales,41,92552,11,40.3,71,No
EMP100089,Operations,39,99166,6,36.0,36,No
EMP100090,Finance,29,90326,6,43.7,53,No
EMP100091,IT,37,87889,5,40.2,43,No
EMP100092,Marketing,22,64701,6,48.3,69,No
EMP100093,Marketing,40,97125,13,37.5,79,No
EMP100094,Sales,37,85381,3,53.1,63,No
EMP100095,Marketing,40,100875,8,46.3,39,No
EMP100096,Finance,43,113714,10,48.4,72,Yes
EMP100097,Sales,38,94002,10,36.9,69,No
EMP100098,Finance,36,102129,8,50.9,87,No
EMP100099,IT,28,100431,11,35.9,61,No
EMP100100,IT,29,89867,9,41.0,65,No
EMP100101,IT,44,112543,11,48.5,90,No
EMP100102,Sales,46,117250,11,44.5,88,Yes
EMP100103,HR,33,78150,4,35.8,33,No
EMP100104,Sales,35,91349,5,47.7,69,No
EMP100105,Operations,28,95512,8,43.7,76,No
EMP100106,IT,44,110484,8,39.9,60,No
EMP100107,Finance,40,103154,9,34.3,50,No
EMP100108,Marketing,51,108348,5,44.2,57,No
EMP100109,IT,28,103527,10,41.2,73,No
EMP100110,IT,32,99932,14,42.8,90,Yes
EMP100111,HR,37,84389,9,34.1,58,No
EMP100112,IT,40,99889,10,39.9,77,No
EMP100113,Operations,33,93456,11,44.4,80,Yes
EMP100114,Marketing,28,79736,6,51.4,68,No
EMP100115,Sales,42,90307,7,41.0,71,No
EMP100116,Operations,41,98803,6,49.2,70,No
EMP100117,Marketing,28,80680,11,45.9,79,No
EMP100118,IT,46,106391,8,43.2,73,No
EMP100119,Operations,44,109580,10,36.9,68,No
EMP100120,Sales,36,94049,12,37.1,68,No
EMP100121,Marketing,36,79179,8,45.1,74,No
EMP100122,Operations,39,99462,9,39.4,65,No
EMP100123,HR,28,75810,10,38.9,56,No
EMP100124,IT,35,107188,10,41.1,68,No
EMP100125,IT,22,82198,6,41.2,55,No
EMP100126,Finance,42,96710,11,46.5,77,No
EMP100127,Marketing,23,81693,9,39.5,62,No
EMP100128,Operations,47,121398,12,46.0,95,No
EMP100129,IT,32,100802,9,44.2,70,No
EMP100130,Sales,33,89843,6,33.6,32,No
EMP100131,Finance,30,89514,10,43.5,63,No
EMP100132,IT,33,94740,10,30.0,46,No
EMP100133,IT,46,114475,10,37.5,64,No
EMP100134,HR,22,67719,6,44.3,55,No
EMP100135,Operations,45,111168,11,41.9,97,Yes
EMP100136,HR,38,87773,11,33.2,54,No
EMP100137,Sales,25,77765,10,36.4,53,No
EMP100138,Marketing,26,68459,9,30.0,35,No
EMP100139,Finance,48,114682,9,35.3,72,No
EMP100140,Operations,27,81861,11,44.9,77,No
EMP100141,Operations,26,81194,11,39.2,65,Yes
EMP100142,HR,44,95367,4,42.8,43,No
EMP100143,Finance,38,113190,15,42.1,86,Yes
EMP100144,HR,27,80937,12,42.2,74,Yes
EMP100145,HR,37,90581,9,47.1,76,No
EMP100146,IT,27,97124,9,41.0,67,No
EMP100147,Sales,44,92295,9,46.6,79,Yes
EMP100148,Sales,43,99206,10,30.0,45,No
EMP100149,IT,39,108807,13,47.6,97,Yes
EMP100150,HR,38,89930,14,35.5,74,No
EMP100151,Operations,49,110809,12,36.6,68,No
EMP100152,IT,35,87093,8,38.5,51,No
EMP100153,IT,26,91133,8,47.4,77,No
EMP100154,Finance,39,91495,6,37.6,41,No
EMP100155,Operations,52,108206,7,38.7,81,Yes
EMP100156,IT,27,79908,4,37.2,43,No
EMP100157,Sales,32,92745,10,43.3,72,No
EMP100158,Marketing,38,86035,14,45.7,84,Yes
EMP100159,IT,35,99102,8,50.5,85,Yes
EMP100160,Marketing,27,75149,8,54.0,72,Yes
EMP100161,Finance,44,113841,12,45.3,87,No
EMP100162,Sales,54,103323,7,43.8,79,No
EMP100163,Sales,37,97882,10,35.9,59,No
EMP100164,Sales,28,99591,14,51.5,100,Yes
EMP100165,IT,23,90339,12,43.1,71,No
EMP100166,Marketing,37,91697,12,40.6,76,Yes
EMP100167,HR,44,89959,9,43.9,73,Yes
EMP100168,IT,39,113657,13,38.8,96,Yes
EMP100169,IT,35,108818,13,30.3,61,No
EMP100170,Sales,30,99939,16,44.9,85,Yes
EMP100171,Sales,26,72975,5,48.7,54,No
EMP100172,IT,42,104218,7,44.8,64,No
EMP100173,Sales,42,93811,6,42.0,58,No
EMP100174,IT,23,81515,9,42.1,67,No
EMP100175,Sales,48,114945,11,42.9,100,Yes
EMP100176,IT,40,104261,8,42.7,66,Yes
EMP100177,Sales,46,110343,8,41.7,52,No
EMP100178,Finance,24,79701,4,42.1,44,No
EMP100179,Operations,24,82265,11,49.8,84,Yes
EMP100180,IT,34,102372,10,44.4,70,No
EMP100181,HR,39,82257,9,42.5,66,Yes
EMP100182,IT,49,116334,10,45.3,85,Yes
EMP100183,Operations,41,97656,8,45.3,73,No
EMP100184,Operations,33,76504,8,46.7,71,No
EMP100185,HR,27,79777,11,38.2,62,Yes
EMP100186,Sales,45,93845,7,39.6,62,No
EMP100187,Marketing,27,69902,7,37.9,31,No
EMP100188,Sales,48,103623,9,45.8,69,No
EMP100189,Sales,33,94017,12,45.6,80,No
EMP100190,IT,48,105832,9,35.6,54,No
EMP100191,IT,40,114740,12,44.0,88,Yes
EMP100192,Operations,34,90065,9,48.9,73,Yes
EMP100193,Operations,31,100550,11,40.8,71,Yes
EMP100194,Sales,32,85800,7,43.6,67,No
EMP100195,HR,38,90225,9,45.7,72,No
EMP100196,HR,36,77477,8,35.4,39,No
EMP100197,Marketing,30,73309,8,42.8,53,No
EMP100198,Operations,34,83715,4,48.4,63,No
EMP100199,Operations,36,90240,12,39.0,73,Yes
EMP100200,Marketing,22,74651,8,46.2,73,Yes
EMP100201,Sales,39,102639,7,42.1,71,No
EMP100202,IT,27,99675,12,38.6,71,No
EMP100203,IT,26,80023,3,41.5,54,No
EMP100204,Operations,22,74417,8,39.4,65,No
EMP100205,Sales,22,75096,10,37.6,42,No
EMP100206,IT,24,84313,9,40.7,62,No
EMP100207,IT,29,94807,13,42.3,77,Yes
EMP100208,Sales,51,98908,7,41.2,60,No
EMP100209,IT,31,102613,14,40.7,78,Yes
EMP100210,IT,36,111447,12,43.1,78,No
EMP100211,Sales,38,94267,13,44.7,92,Yes
EMP100212,Sales,36,93591,5,36.3,37,No
EMP100213,Sales,34,108103,15,40.7,91,Yes
EMP100214,IT,25,81382,5,32.1,24,No
EMP100215,Marketing,47,112230,13,41.2,96,Yes
EMP100216,IT,49,108483,6,42.8,65,No
EMP100217,HR,22,64252,7,44.8,60,No
EMP100218,Marketing,27,83018,13,42.8,79,No
EMP100219,Sales,33,90790,10,44.7,71,No
EMP100220,Marketing,27,83039,11,42.3,71,No
EMP100221,Sales,39,109087,10,38.6,83,Yes
EMP100222,Sales,29,87394,9,36.4,49,Yes
EMP100223,IT,52,122744,12,40.7,66,No
EMP100224,Finance,45,104807,8,38.2,56,No
EMP100225,HR,37,84920,11,41.4,60,No
EMP100226,IT,43,102709,8,39.5,72,Yes
EMP100227,Operations,44,120864,17,44.1,100,Yes
EMP100228,Finance,30,84436,8,42.2,67,No
EMP100229,Operations,28,85295,13,44.2,80,Yes
EMP100230,Sales,36,83445,6,44.2,57,No
EMP100231,Marketing,42,90425,8,41.1,63,No
EMP100232,Sales,36,104563,12,41.4,92,Yes
EMP100233,Sales,22,76456,9,44.5,66,No
EMP100234,Finance,29,91706,12,54.2,100,Yes
EMP100235,IT,34,93576,7,37.1,62,No
EMP100236,Marketing,34,90104,10,42.2,68,No
EMP100237,HR,51,96116,8,36.0,55,No
EMP100238,IT,24,71262,6,41.9,46,No
EMP100239,Sales,39,104031,9,38.6,76,No
EMP100240,IT,47,111328,5,41.4,53,No
EMP100241,Operations,53,106867,5,42.8,55,No
EMP100242,Operations,32,84915,5,39.6,45,No
EMP100243,Operations,39,113686,13,33.1,65,No
EMP100244,Finance,40,94388,7,49.1,67,No
EMP100245,IT,37,95680,10,46.2,87,Yes
EMP100246,Operations,34,92969,9,41.3,71,Yes
EMP100247,Finance,38,82799,5,37.5,40,No
EMP100248,Operations,22,78428,11,42.4,75,Yes
EMP100249,Operations,40,103409,14,43.8,100,Yes
EMP100250,Operations,36,93643,8,45.9,72,No
EMP100251,HR,33,74306,7,46.3,71,No
EMP100252,Finance,51,126999,12,47.3,100,Yes
EMP100253,Operations,30,76119,7,33.3,39,No
EMP100254,HR,32,83835,9,40.5,63,Yes
EMP100255,IT,51,109802,7,47.0,79,No
EMP100256,Sales,28,95091,14,37.4,71,No
EMP100257,Operations,31,77512,8,48.1,46,No
EMP100258,Sales,34,84455,6,51.1,61,No
EMP100259,Sales,42,107533,9,48.0,64,No
EMP100260,IT,37,95890,6,45.3,57,No
EMP100261,Sales,25,93498,13,39.8,63,No
EMP100262,Operations,31,90642,12,43.4,85,Yes
EMP100263,IT,30,94570,12,35.3,58,No
EMP100264,Sales,34,91032,9,38.1,65,No
EMP100265,Operations,38,92110,6,38.4,58,No
EMP100266,Marketing,38,82167,10,42.3,72,No
EMP100267,Sales,22,85934,13,40.0,59,No
EMP100268,Marketing,44,104161,15,43.3,100,Yes
EMP100269,Finance,37,83269,5,46.4,60,No
EMP100270,HR,46,96031,7,38.5,63,No
EMP100271,Marketing,39,106431,12,42.7,97,Yes
EMP100272,Marketing,44,102098,10,39.9,77,No
EMP100273,Operations,39,90468,11,43.0,64,Yes
EMP100274,Operations,46,93977,6,45.4,68,No
EMP100275,Sales,39,86290,5,46.6,47,No
EMP100276,Sales,34,85777,6,45.4,59,No
EMP100277,Marketing,53,109369,9,44.1,72,Yes
EMP100278,Sales,42,109771,13,34.9,76,No
EMP100279,Marketing,40,96600,7,36.6,42,No
EMP100280,Marketing,25,92668,17,37.9,75,No
EMP100281,Operations,25,78188,6,43.8,51,No
EMP100282,HR,37,82182,8,35.5,48,No
EMP100283,Finance,36,119775,11,43.7,83,Yes
EMP100284,IT,30,93719,8,43.3,78,Yes
EMP100285,Sales,36,100104,11,32.3,65,No
EMP100286,IT,48,120746,7,36.6,66,No
EMP100287,Finance,41,102929,9,47.2,76,Yes
EMP100288,Sales,26,80127,11,45.5,63,No
EMP100289,HR,34,84439,6,37.7,48,No
EMP100290,Sales,29,88591,7,36.8,66,No
EMP100291,IT,32,99121,11,30.0,60,No
EMP100292,IT,32,96158,4,49.4,72,No
EMP100293,Marketing,31,70300,2,42.2,46,No
EMP100294,Finance,25,83394,6,51.4,72,No
EMP100295,IT,34,116893,15,41.0,96,Yes
EMP100296,Sales,31,86990,9,43.4,59,No
EMP100297,Marketing,22,73541,8,46.5,61,No
EMP100298,IT,51,121756,8,50.2,84,Yes
EMP100299,Sales,44,105203,12,44.5,88,Yes
EMP100300,IT,32,89715,9,42.0,54,Yes
EMP100301,IT,35,95398,3,42.1,45,No
EMP100302,Sales,26,93041,15,36.8,82,Yes
EMP100303,Sales,49,106766,10,40.1,67,No
EMP100304,Sales,50,104365,6,42.3,55,No
EMP100305,Marketing,36,97851,12,48.9,82,Yes
EMP100306,Operations,43,88584,8,39.8,57,No
EMP100307,Sales,36,93096,7,47.3,50,No
EMP100308,HR,24,74251,10,41.6,56,No
EMP100309,Marketing,32,96331,10,48.2,88,No
EMP100310,HR,36,81286,8,45.4,67,No
EMP100311,Finance,31,93263,6,45.0,65,No
EMP100312,IT,33,91932,7,46.9,53,No
EMP100313,IT,34,96035,8,46.2,68,No
EMP100314,Operations,34,99686,14,47.3,93,Yes
EMP100315,Marketing,35,98960,8,52.7,86,No
EMP100316,Sales,27,74163,9,50.1,81,Yes
EMP100317,Finance,29,80170,3,44.3,54,No
EMP100318,IT,25,86453,9,39.8,57,No
EMP100319,IT,43,100429,5,43.8,55,No
EMP100320,HR,22,74698,11,32.4,63,No
EMP100321,Sales,44,114036,12,46.1,88,Yes
EMP100322,Marketing,46,102790,8,36.7,51,No
EMP100323,Sales,33,101611,12,47.6,87,No
EMP100324,HR,22,69694,11,51.9,90,Yes
EMP100325,Operations,32,91709,12,34.7,58,No
EMP100326,Marketing,34,88195,13,41.7,74,Yes
EMP100327,Sales,27,91697,8,36.7,48,No
EMP100328,Sales,31,83480,8,33.4,55,No
EMP100329,Finance,47,107817,9,41.5,74,No
EMP100330,IT,40,111440,11,45.2,93,Yes
EMP100331,Finance,28,98842,12,45.8,97,Yes
EMP100332,Marketing,22,72048,11,42.8,54,No
EMP100333,IT,32,103520,10,33.7,56,No
EMP100334,IT,33,84980,4,42.6,45,No
EMP100335,IT,39,109784,8,34.5,60,No
EMP100336,IT,31,81155,4,34.9,40,No
EMP100337,Operations,39,103013,11,37.0,66,No
EMP100338,Marketing,50,104656,8,47.2,71,No
EMP100339,Finance,42,93242,7,44.7,72,No
EMP100340,IT,35,95104,12,43.6,84,Yes
EMP100341,Finance,34,87742,8,37.7,58,No
EMP100342,Finance,32,104755,13,40.1,64,Yes
EMP100343,IT,44,90141,5,35.1,52,No
EMP100344,Finance,30,91204,9,48.8,78,No
EMP100345,Finance,35,96681,9,53.0,84,Yes
EMP100346,Sales,35,73906,5,44.8,45,No
EMP100347,Sales,31,87019,12,45.7,75,No
EMP100348,IT,24,78407,8,41.2,50,No
EMP100349,Finance,38,99116,9,33.9,41,No
EMP100350,Sales,35,105398,12,37.8,69,Yes
EMP100351,Sales,39,93450,4,39.7,35,No
EMP100352,Operations,31,86838,11,40.1,68,No
EMP100353,Sales,45,103623,12,38.9,67,No
EMP100354,IT,28,71450,4,42.2,49,No
EMP100355,IT,49,116328,11,37.7,63,Yes
EMP100356,Sales,22,72007,10,52.8,88,Yes
EMP100357,IT,38,101583,9,35.2,67,No
EMP100358,Sales,39,97810,10,46.4,70,No
EMP100359,Operations,29,78346,8,40.7,55,No
EMP100360,Sales,38,88472,7,44.3,55,No
EMP100361,Finance,45,106637,11,44.5,87,Yes
EMP100362,Sales,22,79725,13,42.8,90,Yes
EMP100363,Finance,39,108615,9,36.3,74,No
EMP100364,Sales,22,80507,10,40.3,57,No
EMP100365,Operations,27,89188,12,42.8,77,Yes
EMP100366,Finance,48,118672,10,42.5,93,Yes
EMP100367,Operations,30,86141,7,36.9,55,No
EMP100368,Operations,26,87949,9,48.5,83,No
EMP100369,IT,33,95731,7,30.0,49,No
EMP100370,IT,52,121631,10,40.7,80,Yes
EMP100371,IT,22,77255,8,37.4,50,No
EMP100372,IT,27,81855,8,42.9,51,No
EMP100373,IT,47,114294,7,47.1,70,No
EMP100374,Sales,50,110334,10,35.0,59,No
EMP100375,IT,34,97841,14,53.8,100,Yes
EMP100376,HR,25,53242,6,43.0,44,No
EMP100377,Marketing,52,110686,3,43.9,57,No
EMP100378,IT,48,102484,6,34.8,52,No
EMP100379,Marketing,40,86483,7,41.8,63,No
EMP100380,HR,29,85168,10,46.9,71,Yes
EMP100381,IT,35,96349,12,43.0,85,No
EMP100382,Sales,34,94988,10,42.7,81,Yes
EMP100383,Sales,38,100332,6,41.7,63,No
EMP100384,Operations,47,120883,11,35.1,69,No
EMP100385,Marketing,42,88515,6,35.1,53,No
EMP100386,Marketing,26,88128,15,47.8,97,Yes
EMP100387,HR,46,88622,6,46.4,67,No
EMP100388,IT,38,101692,9,47.2,90,No
EMP100389,Marketing,40,98390,7,37.9,62,No
EMP100390,Marketing,47,103204,14,41.2,98,Yes
EMP100391,Operations,26,83288,9,48.2,71,No
EMP100392,Finance,35,90427,7,35.9,47,No
EMP100393,Finance,31,96811,8,47.6,83,Yes
EMP100394,Marketing,22,75093,6,39.1,38,No
EMP100395,HR,38,89757,12,37.7,84,Yes
EMP100396,Operations,55,118935,12,41.8,97,Yes
EMP100397,Operations,22,81757,10,36.4,58,No
EMP100398,Finance,35,95700,6,32.5,54,No
EMP100399,Marketing,40,84765,12,42.4,79,No
EMP100400,Marketing,36,91137,7,44.7,54,No
EMP100401,IT,34,110479,11,48.1,83,Yes
EMP100402,Operations,25,72534,5,45.0,53,No
EMP100403,Sales,37,97501,8,51.8,82,Yes
EMP100404,Marketing,29,94073,12,48.8,98,Yes
EMP100405,HR,22,72530,11,45.7,74,No
EMP100406,Operations,45,105285,8,44.3,62,No
EMP100407,Finance,43,108476,11,48.2,84,No
EMP100408,IT,35,97887,9,30.9,58,No
EMP100409,Operations,37,79631,4,39.6,28,No
EMP100410,IT,44,108238,8,32.7,44,No
EMP100411,HR,37,93321,7,45.3,63,No
EMP100412,Operations,42,93185,9,38.3,69,No
EMP100413,Operations,33,93301,10,57.1,91,Yes
EMP100414,Sales,45,108726,11,39.4,79,Yes
EMP100415,Sales,38,110849,13,42.5,87,No
EMP100416,Finance,37,111177,11,40.0,76,No
EMP100417,HR,25,63854,8,39.6,44,No
EMP100418,HR,37,80355,8,35.8,56,No
EMP100419,Sales,28,88682,14,35.6,62,No
EMP100420,Marketing,30,79295,9,31.1,44,No
EMP100421,Marketing,28,86409,14,44.7,94,Yes
EMP100422,Marketing,26,74082,6,39.9,41,No
EMP100423,IT,52,111692,8,51.7,73,No
EMP100424,Finance,46,105935,10,35.8,49,No
EMP100425,IT,50,102456,4,49.4,71,No
EMP100426,Sales,25,87556,12,49.9,92,Yes
EMP100427,Finance,36,90617,6,48.4,63,Yes
EMP100428,Operations,25,73152,7,43.2,45,No
EMP100429,Finance,29,82949,9,40.3,59,No
EMP100430,IT,28,72976,5,48.4,66,No
EMP100431,IT,45,114589,6,38.0,50,No
EMP100432,Marketing,32,95468,16,43.4,100,No
EMP100433,Sales,44,111063,5,41.8,47,No
EMP100434,IT,40,103437,6,37.5,46,No
EMP100435,IT,53,141576,15,43.4,100,Yes
EMP100436,Marketing,23,74361,6,45.7,63,No
EMP100437,IT,45,118351,13,37.3,94,No
EMP100438,Marketing,44,104414,14,44.3,99,Yes
EMP100439,Marketing,27,67339,6,30.9,43,No
EMP100440,IT,43,110918,7,36.8,61,No
EMP100441,IT,38,103390,9,39.7,63,No
EMP100442,Operations,33,91499,9,43.8,79,No
EMP100443,Finance,28,88088,7,46.3,76,Yes
EMP100444,Finance,29,81136,4,42.4,55,No
EMP100445,Marketing,51,108169,11,44.8,88,Yes
EMP100446,Operations,35,92676,7,41.2,70,No
EMP100447,Operations,41,94411,8,44.0,70,No
EMP100448,Marketing,29,74343,5,43.8,50,No
EMP100449,Finance,29,90504,8,39.5,65,No
EMP100450,IT,44,112246,11,40.2,82,Yes
EMP100451,Marketing,24,56893,5,45.0,52,No
EMP100452,Sales,32,97444,11,51.1,88,Yes
EMP100453,Finance,35,100930,8,48.0,83,Yes
EMP100454,Operations,36,85813,12,36.4,72,No
EMP100455,IT,34,92540,10,36.4,63,No
EMP100456,Finance,38,109143,8,39.3,60,No
EMP100457,IT,41,108592,10,42.5,87,Yes
EMP100458,Finance,41,98821,7,42.2,53,No
EMP100459,IT,27,86042,9,48.2,66,No
EMP100460,IT,33,86016,7,48.5,69,No
EMP100461,IT,45,109033,9,42.0,53,No
EMP100462,Sales,42,109047,11,40.9,90,Yes
EMP100463,Marketing,24,76706,10,44.6,68,Yes
EMP100464,Sales,38,96662,8,47.3,85,No
EMP100465,Operations,22,94194,14,44.8,100,Yes
EMP100466,Finance,35,93517,10,39.8,66,Yes
EMP100467,HR,50,106617,11,38.9,85,Yes
EMP100468,Operations,27,84826,8,36.4,44,No
EMP100469,IT,28,86003,10,43.0,72,No
EMP100470,Operations,41,96668,8,45.1,66,No
EMP100471,IT,23,96834,10,45.7,83,Yes
EMP100472,Operations,30,85758,11,47.8,86,No
EMP100473,IT,40,107010,7,49.4,76,No
EMP100474,Operations,30,79753,7,35.1,50,No
EMP100475,Sales,33,86998,2,44.0,53,No
EMP100476,Operations,41,91127,11,44.2,77,Yes
EMP100477,IT,38,96790,6,41.6,79,No
EMP100478,Sales,37,93727,14,37.9,76,No
EMP100479,Operations,32,91395,14,49.2,100,Yes
EMP100480,Sales,38,95959,12,39.1,83,No
EMP100481,Sales,34,90198,10,31.0,38,No
EMP100482,Sales,39,87070,8,42.1,74,Yes
EMP100483,Finance,31,86370,7,40.8,65,No
EMP100484,Sales,34,94563,10,51.3,86,Yes
EMP100485,Sales,27,72409,9,44.4,66,Yes
EMP100486,Operations,35,82790,7,40.5,58,No
EMP100487,IT,29,109846,11,41.0,89,Yes
EMP100488,HR,26,76175,10,41.0,59,Yes
EMP100489,Operations,37,79894,8,53.1,88,Yes
EMP100490,Operations,37,87797,11,45.4,68,No
EMP100491,Finance,41,103755,9,35.0,47,No
EMP100492,Sales,32,84604,7,40.8,60,No
EMP100493,HR,38,81475,8,41.9,69,No
EMP100494,IT,39,119760,11,36.5,74,Yes
EMP100495,Finance,39,110312,6,33.1,33,No
EMP100496,Finance,28,87014,10,45.0,60,No
EMP100497,Sales,36,92238,6,38.0,55,No
EMP100498,IT,38,107339,9,48.2,82,Yes
EMP100499,Operations,35,89335,5,42.0,63,No
EMP100500,Operations,22,68959,8,39.6,52,No
EMP100501,Sales,36,98637,6,30.0,36,No
EMP100502,Sales,53,126788,17,48.1,100,Yes
EMP100503,HR,32,71332,3,43.5,50,Yes
EMP100504,Marketing,29,81012,9,39.8,70,No
EMP100505,Sales,38,95762,10,37.5,64,No
EMP100506,IT,37,107670,12,50.0,95,Yes
EMP100507,Operations,45,95085,9,36.7,66,No
EMP100508,Marketing,25,60773,7,40.2,40,No
EMP100509,Operations,41,101520,12,44.8,90,Yes
EMP100510,Marketing,40,87117,8,49.3,71,No
EMP100511,Sales,34,96885,11,40.9,73,No
EMP100512,Finance,38,105003,11,38.3,72,Yes
EMP100513,Operations,43,99881,9,41.5,70,Yes
EMP100514,Operations,42,105689,8,46.5,91,Yes
EMP100515,IT,26,78363,4,47.6,50,No
EMP100516,IT,42,106851,14,35.1,75,No
EMP100517,Finance,34,90858,8,42.6,75,Yes
EMP100518,Marketing,36,94626,8,34.8,57,No
EMP100519,Operations,36,87294,13,46.4,90,Yes
EMP100520,IT,34,91036,6,44.1,52,No
EMP100521,Sales,45,104853,8,37.4,63,No
EMP100522,Finance,34,108113,8,49.7,88,Yes
EMP100523,Operations,26,83050,7,43.7,54,No
EMP100524,Marketing,32,87196,10,43.1,75,Yes
EMP100525,Marketing,36,88925,7,41.1,56,No
EMP100526,Finance,45,94014,8,42.0,59,No
EMP100527,Finance,40,100302,12,40.1,85,Yes
EMP100528,HR,28,82306,11,38.3,73,No
EMP100529,IT,55,115967,5,48.1,73,Yes
EMP100530,Operations,37,99732,12,39.5,79,No
EMP100531,Marketing,45,102205,10,39.4,80,Yes
EMP100532,Operations,34,94369,12,41.4,73,No
EMP100533,Operations,39,88418,5,49.1,66,No
EMP100534,Sales,42,91464,8,47.7,69,No
EMP100535,Marketing,45,97026,8,40.0,54,No
EMP100536,Operations,43,99535,13,48.1,88,Yes
EMP100537,Marketing,42,91082,8,42.5,55,No
EMP100538,IT,32,112575,15,37.8,91,Yes
EMP100539,Finance,30,86315,8,39.6,51,No
EMP100540,IT,38,96375,4,48.9,51,No
EMP100541,Operations,42,101092,10,52.4,95,Yes
EMP100542,Sales,33,95491,14,43.6,92,Yes
EMP100543,IT,44,99349,7,39.2,56,No
EMP100544,Sales,47,97800,6,41.4,64,No
EMP100545,Sales,28,80299,7,38.2,44,No
EMP100546,Finance,28,84881,6,38.9,47,No
EMP100547,IT,34,92334,6,38.4,55,No
