customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
C60,25.0,Male,North,Graduate,Self-Employed,1476650.82,"₹605,882",Home,589.7,0,110,29.96,2018-10-09,0
C61,50.0,Female,North,Secondary,Business,631947.24,"₹190,168",Other,681.8,1,59,47.98,2022-04-01,0
C62,38.0,Male,West,Primary,Unemployed,446233.64,"₹74,653",Business,,8,116,121.16,2026-05-16,1
C63,47.0,Female,North,Post-Graduate,Self-Employed,313404.55,"₹766,911",Education,630.8,2,50,41.32,2023-05-13,1
C64,42.0,Male,East,Primary,Business,703870.36,"₹3,963,168",Education,712.8,1,79,59.2,2016-11-25,1
C65,53.0,Male,East,Secondary,Salaried,707813.0,"₹231,594",Medical,767.4,1,100,17.29,2017-12-09,0
C66,42.0,Male,South,Secondary,Self-Employed,,,Business,704.4,3,193,12.76,2024-11-18,0
C67,67.0,Male,West,Post-Graduate,Self-Employed,257987.75,"₹1,097,163",Business,768.5,0,92,9.85,2019-12-24,1
C68,40.0,Male,West,Primary,Unemployed,501805.48,"₹245,930",Other,616.4,0,32,21.73,2025-08-06,0
C69,26.0,Other,West,Post-Graduate,Salaried,316005.46,"₹401,521",Other,683.2,4,54,39.98,2020-06-04,0
C70,27.0,Male,West,Primary,Business,271600.18,"₹73,361",Education,594.4,0,76,36.25,2023-05-17,0
C71,65.0,Male,East,Primary,Business,177412.54,"₹504,463",Car,636.4,5,119,121.04,2019-02-02,1
C72,22.0,Female,West,Primary,Business,70389.7,"₹198,563",Other,573.6,2,91,51.21,2016-01-27,1
C73,39.0,Male,North,Graduate,Unemployed,1209104.35,"₹296,520",Home,537.3,2,137,93.74,2022-03-16,0
C74,23.0,Male,East,Graduate,Unemployed,,"₹236,143",Medical,731.7,5,89,9.79,2023-02-24,0
C75,69.0,Other,South,Primary,Self-Employed,2210800.64,"₹140,954",Medical,553.4,8,114,30.27,2016-09-21,0
C76,26.0,Female,East,Post-Graduate,Business,657304.31,"₹620,264",Business,751.9,2,120,39.52,2016-08-29,0
C77,29.0,,West,Primary,Business,1105056.45,"₹188,938",Medical,648.8,0,71,21.41,2023-02-04,0
C78,54.0,Male,West,Secondary,Salaried,185740.4,"₹283,688",Car,723.6,4,114,15.36,2022-09-23,0
C79,67.0,Female,South,Secondary,Unemployed,515136.08,"₹312,294",Car,732.4,2,57,21.32,2021-02-26,0
C80,58.0,Male,North,Secondary,Self-Employed,150346.03,,Business,672.3,2,83,111.82,2021-10-10,1
C81,33.0,Female,West,Graduate,Unemployed,425768.87,"₹381,209",Home,,0,116,44.59,2025-06-18,0
C82,35.0,Female,South,Secondary,Salaried,1180326.94,"₹169,715",Car,,5,57,17.77,2025-04-03,0
C83,31.0,Female,East,Primary,Salaried,237235.73,"₹4,355,958",Home,713.5,4,62,44.94,2021-06-22,1
C84,42.0,Female,West,Graduate,Salaried,566637.19,"₹390,747",Education,740.7,1,19,41.11,2018-02-19,0
C85,57.0,Male,South,Post-Graduate,Business,649165.23,,Other,751.4,3,60,58.79,2020-12-15,0
C86,68.0,Other,South,Primary,Unemployed,147771.4,"₹556,616",Business,,4,83,17.24,2018-05-25,1
C87,62.0,Male,West,Post-Graduate,Salaried,899063.51,"₹262,536",Medical,607.7,0,100,25.63,2021-04-04,0
C88,37.0,Male,East,Graduate,Self-Employed,,"₹1,247,986",Car,620.8,0,67,87.69,2022-09-28,1
C89,36.0,Male,East,Primary,Business,770064.83,"₹133,885",Business,781.7,6,172,26.04,2017-03-31,0
C90,39.0,Female,West,Primary,Self-Employed,1349580.58,"₹917,667",Car,734.5,1,141,48.44,2015-11-02,0
C91,44.0,Male,North,Post-Graduate,Unemployed,89962.73,"₹214,021",Medical,533.3,0,35,52.07,2018-01-04,1
C92,47.0,Male,South,Primary,Business,212416.83,"₹50,000",Business,712.4,3,65,89.93,2016-12-11,0
C93,60.0,Male,South,Secondary,Unemployed,362366.37,"₹57,138",Other,638.9,7,55,27.08,2026-04-09,0
C94,67.0,Male,North,Graduate,Business,611593.78,"₹396,732",Medical,578.9,0,76,25.52,2016-11-01,0
C95,,Female,East,Primary,Salaried,132289.36,"₹342,345",Car,640.6,2,74,42.69,2025-03-03,1
C96,50.0,Male,West,Primary,Unemployed,,"₹187,526",Car,662.6,1,86,38.16,2019-01-14,0
C97,67.0,Female,West,Graduate,Unemployed,213252.62,"₹584,519",Business,864.8,9,167,208.09,2021-09-10,1
C98,61.0,Female,West,Post-Graduate,Self-Employed,,"₹176,055",Business,839.3,3,107,51.7,2015-12-29,0
C99,46.0,Male,South,Primary,Self-Employed,503775.6,"₹507,050",Medical,647.1,0,126,24.78,2016-05-14,0
C100,55.0,Female,South,Post-Graduate,Unemployed,193647.85,"₹203,958",Education,772.1,2,114,42.47,2020-01-21,0
C101,63.0,Male,West,Primary,Unemployed,257585.4,,Car,629.8,0,115,73.66,2025-10-02,1
C102,39.0,Male,North,Secondary,Self-Employed,204712.09,"₹1,254,781",Business,805.4,0,82,22.22,2026-02-25,1
C103,24.0,Female,West,Graduate,Self-Employed,369382.56,"₹181,256",Medical,776.5,1,110,16.83,2026-03-14,0
C104,59.0,Female,East,Graduate,Unemployed,492301.2,"₹50,000",Car,,0,75,94.26,2024-04-01,0
C105,,Male,North,Secondary,Salaried,245911.49,"₹261,011",Car,615.9,2,76,114.94,2020-05-28,1
C106,57.0,Female,East,Graduate,Business,775970.7,"₹275,926",Medical,599.6,3,75,15.54,2023-06-17,0
C107,48.0,Male,North,Secondary,,499828.37,,Other,656.8,2,146,38.78,2016-09-01,0
C108,35.0,Female,North,Secondary,Business,265825.75,"₹1,594,533",Home,556.7,2,19,51.19,2022-10-04,1
C109,24.0,Female,South,Primary,Business,726620.87,"₹878,811",Home,698.3,0,53,16.08,2023-07-11,0
C110,67.0,Female,East,Secondary,Salaried,1105593.47,"₹2,185,430",Medical,654.6,1,114,23.24,2025-01-24,1
C111,53.0,Female,West,Primary,Salaried,141340.07,"₹83,041",Education,663.9,0,92,52.29,2021-01-11,0
C112,35.0,Female,South,Primary,Self-Employed,428264.84,"₹125,316",Education,777.0,1,75,20.29,2023-11-16,0
C113,57.0,Male,East,Post-Graduate,Business,291484.99,"₹369,486",Education,,0,61,86.25,2020-06-08,1
C114,42.0,Male,West,Graduate,Salaried,,"₹500,000",Other,721.9,4,80,118.19,2018-02-14,0
C115,37.0,Male,East,Secondary,Unemployed,767418.2,"₹284,370",Home,787.7,0,99,111.55,2016-11-27,0
C116,67.0,Male,East,Secondary,Salaried,638446.48,"₹881,911",Business,606.9,4,106,78.22,2019-12-16,1
C117,41.0,Male,West,Secondary,Business,811842.5,"₹750,169",Other,784.7,5,101,32.37,2018-09-08,0
C118,33.0,Female,South,Secondary,,3612143.83,"₹250,641",Home,689.9,7,100,16.4,2023-09-21,0
C119,,Male,South,Graduate,Salaried,849001.22,"₹231,762",Business,635.7,0,74,34.58,2022-11-23,0
C120,57.0,Male,East,Primary,Self-Employed,357054.27,"₹238,881",Medical,753.1,0,70,38.64,2018-11-20,0
C121,28.0,Female,East,Secondary,Self-Employed,314531.3,"₹1,276,417",Car,646.9,0,73,28.35,2021-06-22,1
C122,67.0,Female,West,Primary,Salaried,,"₹391,773",Education,,3,131,90.66,2020-07-20,1
C123,20.0,Female,East,Graduate,,820863.47,"₹369,753",Medical,647.6,1,97,17.7,2021-04-21,0
C124,52.0,Male,East,Graduate,Business,4070953.17,"₹259,482",Other,732.5,2,69,21.37,2020-07-20,0
C125,43.0,Female,South,Graduate,Unemployed,415423.25,"₹601,245",Medical,624.2,0,37,68.29,2016-06-02,1
C126,43.0,Male,West,Secondary,Unemployed,78572.4,"₹395,886",Business,687.9,2,78,37.84,2018-07-18,1
C127,47.0,Male,West,Secondary,Self-Employed,1059815.67,"₹237,209",Home,,2,79,36.43,2017-02-18,0
C128,31.0,Female,North,Secondary,Self-Employed,4197052.72,"₹227,954",Car,547.3,0,94,18.83,2021-09-17,0
C129,42.0,Other,South,Secondary,Salaried,,"₹214,989",Education,727.9,5,100,47.63,2024-08-18,0
C130,68.0,Male,South,Graduate,Salaried,210269.84,"₹622,715",Business,653.7,0,126,208.83,2020-05-14,1
C131,42.0,Male,South,Post-Graduate,Salaried,2850423.57,"₹1,090,590",Home,624.5,0,90,19.79,2015-11-23,0
C132,68.0,Male,East,Post-Graduate,Unemployed,676179.35,"₹384,430",Education,665.4,4,159,42.97,2016-06-25,0
C133,62.0,Female,South,Primary,Self-Employed,183169.06,"₹382,627",Car,677.6,1,82,125.13,2020-10-24,1
C134,41.0,Male,East,Primary,Salaried,336239.84,"₹443,451",Car,634.3,4,71,171.02,2017-08-02,1
C135,65.0,Female,North,Primary,Salaried,257474.46,"₹1,030,905",Home,675.1,0,34,29.7,2023-05-13,1
C136,50.0,Female,North,Secondary,Self-Employed,467714.83,"₹1,651,978",Car,744.1,0,76,52.66,2026-01-24,1
C137,64.0,Female,South,Secondary,Salaried,584773.57,"₹96,077",Other,586.7,6,121,5.0,2018-03-12,0
C138,35.0,Male,North,Secondary,Unemployed,775788.7,"₹65,684",Education,899.6,3,121,13.11,2022-04-26,0
C139,46.0,Male,South,Primary,Self-Employed,452010.61,"₹115,709",Education,527.6,4,102,74.33,2019-10-28,0
C140,27.0,Male,South,Graduate,Unemployed,529445.67,"₹229,135",Medical,616.3,0,107,26.41,2016-11-19,0
C141,55.0,Male,North,Primary,Salaried,154912.44,"₹516,612",Car,852.6,5,82,31.29,2022-12-09,1
C142,29.0,Male,East,Post-Graduate,Self-Employed,304799.43,"₹326,075",Business,587.5,4,168,43.5,2015-06-09,1
C143,68.0,Female,East,Post-Graduate,Unemployed,305453.97,"₹350,112",Other,,8,56,27.3,2020-07-23,1
C144,33.0,Male,North,Secondary,Unemployed,144777.69,"₹87,927",Business,762.7,3,85,47.64,2019-03-23,0
C145,52.0,Male,South,Post-Graduate,Salaried,240278.8,,Medical,692.7,4,157,140.52,2017-06-27,1
C146,41.0,Male,East,Post-Graduate,Salaried,359055.47,"₹567,271",Car,604.6,1,147,78.5,2023-01-02,1
C147,60.0,Female,South,Post-Graduate,,788248.97,"₹637,329",Car,633.8,2,109,48.23,2026-02-16,0
C148,39.0,Other,North,Secondary,Business,1106840.02,"₹268,175",Car,577.4,2,109,15.08,2024-05-30,0
C149,44.0,Female,West,Graduate,Unemployed,174810.28,"₹631,988",Education,818.4,5,48,22.89,2017-02-01,1
C150,56.0,Female,West,Primary,Unemployed,943138.33,"₹171,148",Business,858.9,2,58,28.35,2016-02-11,0
C151,54.0,,West,Secondary,Salaried,,"₹560,880",Other,728.3,3,157,27.3,2025-12-20,0
C152,34.0,Male,West,Secondary,Business,1157001.54,,Medical,755.9,7,115,49.84,2022-09-17,0
C153,44.0,Other,South,Primary,Unemployed,1060250.14,"₹882,203",Business,647.9,3,79,70.13,2017-09-12,0
C154,29.0,Male,South,Secondary,,685069.6,"₹78,354",Medical,587.9,3,74,46.52,2021-03-12,0
C155,47.0,Male,West,Primary,Unemployed,164871.54,"₹104,467",Other,631.5,3,45,32.9,2022-06-08,0
C156,33.0,Male,West,Graduate,Business,343443.31,"₹419,756",Medical,598.2,6,83,68.34,2024-05-07,1
C157,59.0,Male,South,Post-Graduate,Self-Employed,1302082.4,"₹312,460",Car,687.6,1,32,42.8,2018-11-24,0
C158,30.0,Male,South,Primary,Unemployed,190615.42,,Medical,759.5,2,62,39.04,2025-08-23,0
C159,53.0,Male,East,Secondary,Business,1499263.41,"₹243,364",Business,834.0,1,76,35.8,2015-03-14,0
C160,26.0,Female,South,Primary,Self-Employed,87457.37,"₹248,418",Home,623.1,0,102,76.32,2017-04-18,1
C161,50.0,Female,East,Graduate,Business,814812.0,"₹179,902",Other,570.3,0,108,28.74,2024-01-24,0
C162,38.0,,South,Primary,Unemployed,416508.95,"₹635,523",Other,769.4,3,138,60.81,2018-10-24,1
C163,53.0,Male,East,Primary,Unemployed,251096.91,"₹493,089",Medical,662.3,4,88,67.1,2020-11-04,1
C164,,Female,North,Post-Graduate,Salaried,1672606.93,"₹301,673",Medical,611.5,8,116,23.2,2024-03-06,0
C165,,Male,East,Secondary,Salaried,477428.03,"₹69,377",Business,688.4,0,136,52.33,2025-09-15,0
C166,18.0,Male,South,Graduate,Salaried,4177290.42,"₹478,155",Education,738.0,5,118,31.18,2016-01-10,0
C167,,Female,East,Post-Graduate,Self-Employed,56033.66,"₹885,422",Business,673.9,1,69,25.29,2015-11-03,1
C168,58.0,Male,North,Primary,Salaried,619933.54,"₹243,824",Other,654.0,5,140,50.04,2017-04-07,0
C169,51.0,Male,South,Post-Graduate,Salaried,521232.5,,Other,706.4,0,64,16.22,2019-08-29,0
C170,48.0,Male,South,Primary,Salaried,2007549.7,"₹82,075",Home,744.0,2,118,38.14,2018-12-02,0
C171,36.0,Male,East,Post-Graduate,Salaried,655164.17,"₹232,642",Business,,6,6,25.61,2025-09-22,0
C172,59.0,Male,North,Secondary,Salaried,473166.49,"₹653,341",Home,799.6,6,45,99.38,2025-12-12,1
C173,44.0,Female,North,Primary,Business,1448706.52,"₹468,252",Car,,0,58,67.64,2023-08-19,0
C174,70.0,Female,North,Primary,Self-Employed,507250.96,"₹50,000",Home,,2,136,44.1,2020-04-09,0
C175,47.0,Female,West,Primary,Unemployed,460438.0,"₹390,596",Other,678.6,2,45,24.82,2019-08-22,0
C176,60.0,Female,East,Graduate,Salaried,,"₹507,332",Medical,612.3,2,87,24.88,2021-07-19,1
C177,51.0,Male,North,Primary,Self-Employed,,"₹248,590",Other,793.5,7,101,17.95,2016-01-16,0
C178,61.0,Female,North,Post-Graduate,Unemployed,,"₹825,091",Other,633.6,4,137,54.95,2023-09-09,1
C179,56.0,Female,East,Post-Graduate,Unemployed,820835.12,"₹1,131,646",Car,574.1,5,71,179.87,2019-11-16,1
C180,31.0,Female,East,Graduate,Self-Employed,1776705.27,,Business,798.6,0,64,27.0,2021-05-31,0
C181,,Male,North,Primary,Unemployed,114255.39,"₹475,398",Medical,679.5,8,71,77.66,2020-04-30,1
C182,68.0,Female,East,Primary,Unemployed,1292950.68,"₹701,671",Other,808.6,6,57,82.5,2019-05-29,0
C183,30.0,Male,West,Secondary,Salaried,297269.71,"₹215,296",Medical,752.5,5,59,24.51,2022-03-27,0
C184,21.0,Other,East,Post-Graduate,Business,1124288.67,"₹507,527",Car,790.0,0,157,53.63,2021-08-01,0
C185,66.0,Female,West,Primary,Salaried,759657.4,"₹476,821",Medical,651.1,0,127,42.79,2023-05-30,0
C186,69.0,Female,West,Post-Graduate,Salaried,224277.28,"₹344,195",Other,653.2,4,149,66.44,2024-10-05,1
C187,70.0,Male,South,Primary,Unemployed,681273.12,"₹154,346",Medical,756.5,0,51,27.88,2017-08-27,0
C188,18.0,Female,North,Primary,Salaried,337575.2,"₹622,184",Other,704.6,0,140,10.6,2021-08-13,0
C189,27.0,Male,East,Primary,Self-Employed,665944.37,"₹90,535",Medical,634.1,5,66,25.55,2016-03-21,0
C190,47.0,Female,North,Graduate,Salaried,326451.69,"₹887,364",Medical,676.3,2,104,19.55,2022-05-13,1
C191,60.0,Male,South,Graduate,Business,151202.34,"₹405,213",Education,649.3,0,24,39.3,2016-11-02,1
C192,70.0,Male,South,Graduate,Salaried,1839115.12,"₹508,570",Education,726.5,2,174,45.9,2018-05-02,0
C193,43.0,Male,East,Secondary,Unemployed,500848.19,"₹967,682",Home,735.8,6,105,25.82,2020-04-01,1
C194,60.0,Male,East,Post-Graduate,Unemployed,,"₹397,910",Medical,647.6,0,45,20.32,2019-12-31,0
C195,43.0,Male,East,Post-Graduate,Unemployed,1275011.78,"₹309,513",Business,739.7,6,68,31.78,2025-09-27,0
C196,31.0,Female,South,Post-Graduate,Salaried,334029.53,"₹94,308",Other,609.8,6,168,41.37,2015-06-02,0
C197,64.0,Female,East,Primary,Self-Employed,918154.11,"₹640,237",Business,728.7,7,84,34.9,2020-02-26,0
C198,42.0,Male,North,Primary,Self-Employed,,"₹1,076,762",Business,607.7,0,41,46.59,2017-02-02,1
C199,60.0,Male,North,Post-Graduate,Unemployed,,"₹50,000",Education,601.7,5,94,38.59,2016-11-17,0
C200,56.0,Female,West,Graduate,Self-Employed,522176.02,,Other,556.7,0,74,44.19,2021-03-07,0
C201,43.0,Other,South,Post-Graduate,Unemployed,183928.79,"₹606,177",Medical,706.4,1,110,15.07,2022-08-04,1
C202,57.0,Female,North,Secondary,Unemployed,1407747.14,"₹188,073",Car,488.9,7,84,43.66,2016-04-15,0
C203,58.0,Female,West,Primary,Self-Employed,,"₹316,647",Business,645.3,0,106,25.56,2023-11-12,0
C204,55.0,Male,North,Primary,Salaried,641068.03,"₹365,042",Medical,674.8,6,79,18.15,2016-08-15,0
C205,36.0,,North,Graduate,Business,728862.25,"₹1,118,514",Medical,663.9,2,141,24.9,2022-12-02,0
C206,52.0,Male,East,Secondary,,1549501.18,"₹690,020",Car,726.7,5,64,10.23,2020-12-14,0
C207,32.0,Male,South,Graduate,Self-Employed,772453.89,"₹12,009,384",Medical,805.5,0,65,45.25,2019-02-07,1
C208,35.0,Male,South,Secondary,Salaried,531572.58,"₹99,292",Home,730.4,1,95,41.3,2015-03-10,0
C209,61.0,Male,West,Primary,Business,126444.67,"₹181,745",Car,651.8,4,31,30.53,2025-02-09,1
C210,54.0,,South,Primary,Business,1278138.81,"₹6,034,313",Business,745.0,7,153,56.01,2022-01-30,1
C211,37.0,Male,North,Post-Graduate,Salaried,660380.65,"₹272,032",Education,641.6,5,118,17.06,2018-11-30,0
C212,40.0,Male,West,Post-Graduate,Salaried,397756.41,"₹155,252",Other,654.4,0,51,23.64,2022-02-08,0
C213,36.0,Female,East,Post-Graduate,Business,526829.33,"₹560,502",Medical,,7,99,38.66,2023-11-27,1
C214,66.0,Male,North,Graduate,Self-Employed,410936.11,"₹271,327",Medical,758.0,5,98,29.48,2021-02-09,0
C215,46.0,Male,South,Post-Graduate,Unemployed,546714.37,"₹179,680",Other,608.7,4,89,28.1,2015-03-10,0
C216,49.0,Other,West,Graduate,Salaried,,"₹827,144",Car,681.0,0,101,82.93,2023-06-27,0
C217,34.0,Male,West,Secondary,Business,,"₹119,819",Home,652.0,7,82,12.5,2019-03-04,0
C218,36.0,Male,South,Post-Graduate,Salaried,324684.13,"₹210,446",Home,790.6,0,106,10.87,2018-04-11,0
C219,35.0,Other,West,Primary,Unemployed,2297135.97,"₹51,882",Education,652.5,1,181,8.85,2017-09-27,0
C220,48.0,Female,East,Secondary,Business,323108.29,"₹216,670",Home,634.7,3,84,37.16,2023-05-01,0
C221,33.0,Male,West,Primary,Business,600198.58,"₹1,331,961",Education,704.6,11,93,36.51,2023-06-22,1
C222,64.0,Male,East,Primary,Unemployed,951156.35,"₹289,593",Home,535.4,0,105,93.57,2018-08-06,0
C223,51.0,Male,West,Graduate,Business,555130.76,"₹310,542",Medical,,1,83,12.34,2018-06-16,0
C224,36.0,Male,West,Graduate,Salaried,,"₹429,125",Car,706.1,2,83,12.19,2015-04-18,1
C225,59.0,Female,North,Post-Graduate,Salaried,237590.38,"₹355,108",Medical,729.2,3,113,33.72,2020-07-30,0
C226,,Male,West,Primary,Business,1118463.14,"₹350,561",Education,714.4,0,35,117.11,2022-04-13,0
C227,44.0,Other,West,Graduate,Self-Employed,558276.29,"₹724,783",Car,603.9,3,143,28.47,2019-12-23,1
C228,38.0,Male,East,Secondary,Salaried,186794.42,,Business,668.5,5,112,146.25,2018-11-17,1
C229,70.0,Female,North,Graduate,Salaried,1055888.24,,Education,,0,58,32.65,2015-12-04,0
C230,52.0,Female,South,Graduate,Self-Employed,116307.95,"₹340,862",Education,591.0,4,119,35.7,2023-12-15,1
C231,23.0,Male,West,Secondary,Self-Employed,483938.25,,Business,,2,34,44.33,2024-04-11,0
C232,41.0,Male,South,Graduate,Business,570574.27,"₹1,165,091",Home,731.7,3,65,21.4,2016-12-03,1
C233,65.0,Male,South,Secondary,Business,189524.13,"₹113,443",Education,618.8,2,87,53.79,2015-12-23,0
C234,28.0,Male,East,Secondary,Business,165815.24,"₹1,484,895",Education,636.2,5,47,23.75,2017-03-26,1
C235,49.0,Female,North,Secondary,Self-Employed,500824.65,"₹321,157",Other,720.7,5,69,126.52,2016-05-22,1
C236,34.0,Male,North,Graduate,Self-Employed,633153.96,"₹385,539",Other,638.4,9,73,25.56,2019-08-21,0
C237,26.0,Female,South,Secondary,Business,1340566.23,"₹1,008,949",Education,696.4,3,85,64.46,2015-08-30,0
C238,44.0,Male,East,Post-Graduate,,277661.48,"₹474,188",Business,629.9,3,99,35.94,2019-02-16,1
C239,49.0,Female,South,Secondary,Self-Employed,264912.62,"₹81,484",Business,694.1,4,38,217.51,2020-07-14,1
C240,43.0,Other,North,Post-Graduate,Business,45956.25,"₹350,537",Medical,721.3,5,118,20.66,2015-11-18,1
